Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-05-25
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
2010-01-01;0000;null;null;null;10;0;922.9;1010.6;22.3;20.5;19.8;86;18;4;50
2010-01-01;1200;null;6;null;10;3.4;922.5;1010.4;21.6;20.9;20.6;94;23;2.3;10
2010-01-01;1800;null;5;null;10;.6;921.3;1009.6;23.5;21.5;20.6;84;23;3.1;50
2010-01-02;0000;null;null;null;10;2.7;923.7;1012;20.4;19.6;19.1;92;0;0;50
2010-01-02;1200;null;5;null;10;6.9;925.7;1014.2;22;21.1;20.8;93;0;0;20
2010-01-02;1800;null;7;null;10;0;923.4;1011.5;27.8;23.7;21.8;70;23;2;70
2010-01-03;0000;null;5;null;10;30.4;925.7;1014;21.6;21.1;20.9;96;18;1.6;20
2010-01-03;1200;null;5;null;10;0;927.4;1015.6;24.1;22.1;22.2;84;5;1;20
2010-01-03;1800;null;5;null;10;0;925.6;1013.7;27.7;23.7;22;71;23;5.3;50
2010-01-04;0000;null;7;null;10;0;926.2;1014.1;23.5;21.5;20.6;84;14;3.1;50
2010-01-04;1200;5;1;5;3;0;926.9;1014.7;26.2;22.5;21;73;9;2.5;50
2010-01-04;1800;null;9;null;10;3.1;926.7;1015.7;21.6;21.1;20.9;96;9;5.8;2
2010-01-05;0000;0;0;8;2;11.2;925.4;1013.1;23;20.7;19.8;82;0;0;50
2010-01-05;1200;9;0;3;3;0;924.1;1011.8;25.5;22.5;21.2;77;14;2.3;10
2010-01-05;1800;0;5;6;8;.2;920.4;1007.8;28.8;23.1;20.5;61;5;1.1;20
2010-01-06;0000;null;null;null;10;43.6;923.8;1011.5;20.4;20.1;19.9;97;0;0;5
2010-01-06;1200;null;5;null;10;7.9;921.4;1009.2;23.2;20.2;18.7;76;5;3;50
2010-01-06;1800;2;2;6;7;0;919.6;1007.3;29.3;22.9;19.6;56;9;2.6;60
2010-01-07;0000;null;5;null;10;7.5;921.2;1008.8;22.3;20.2;19.1;83;32;1.3;50
2010-01-07;1200;null;5;null;10;0;922.7;1010.5;23.9;20.7;19.2;75;32;2.1;60
2010-01-07;1800;0;2;9;9;0;921;1009;26.9;22.7;21;70;27;2.8;50
2010-01-08;0000;null;null;null;10;0;923.3;1011;22.8;21.3;20.9;88;14;2.6;10
2010-01-08;1200;null;6;null;10;.6;925.5;1013.6;23.1;21.3;20.4;85;9;3.1;10
2010-01-08;1800;null;6;null;10;12;923.2;1011.7;24.2;22.7;22.3;89;18;2.3;10
2010-01-09;0000;0;6;8;9;17.4;924.9;1012.9;22.6;22;21.8;95;18;1;5
2010-01-09;1200;4;5;8;5;0;925.7;1013.6;25.4;23.4;22.7;85;0;0;50
2010-01-09;1800;0;2;7;8;0;923.2;1011.6;30.5;22.9;19.8;51;32;2.8;60
2010-01-10;0000;null;null;null;10;0;924.8;1012.6;23.6;23.1;22.3;96;14;1.6;50
2010-01-10;1200;6;0;7;3;0;924.6;1012.9;28.9;23.1;20.6;61;32;3.6;60
2010-01-10;1800;2;8;3;7;0;922.9;1010.3;31.1;22.6;18.8;48;27;4;70
2010-01-11;0000;null;null;null;10;.4;924.1;1011.2;25;22.1;20.9;78;9;1.5;50
2010-01-11;1200;5;2;7;8;0;924.1;1011.4;25.8;22.9;21.7;78;27;1.6;20
2010-01-11;1800;9;2;7;7;0;921.9;1009.4;30.7;24.7;22;60;27;3.3;70
2010-01-12;0000;null;5;null;10;29.4;923.8;1011.7;20.2;18.7;18;87;23;2.3;50
2010-01-12;1200;1;5;7;9;0;924.1;1012.1;24.9;20.9;18.8;69;23;1.3;60
2010-01-12;1800;1;2;8;6;0;922.1;1010.7;30;22.2;18.4;50;32;2.1;70
2010-01-13;0000;null;5;null;10;2.3;925.3;1013;23.8;21.7;20.9;84;32;3;20
2010-01-13;1200;5;2;7;5;0;925;1012.7;25.2;21;18.9;68;32;4;70
2010-01-13;1800;5;2;7;7;0;922.8;1012.1;30;22.1;18.4;50;32;3.3;70
2010-01-14;0000;8;5;1;5;0;923.8;1011.1;26.8;21.2;16.4;58;32;1.3;50
2010-01-14;1200;null;7;null;10;0;924.9;1012.5;22.8;20.3;19.2;80;32;3.3;70
2010-01-14;1800;null;5;null;10;0;923.9;1013;24.9;21.5;19.9;74;27;4;50
2010-01-15;0000;null;5;null;10;.8;925.4;1013.4;22.9;20.8;19.9;83;32;1.1;50
2010-01-15;1200;null;5;null;10;5.5;928.7;1017.2;20.8;19.7;19.3;91;14;4.1;50
2010-01-15;1800;null;5;null;10;0;928.5;1018.6;22.4;20.1;19.9;81;23;3.6;20
2010-01-16;0000;5;2;7;6;0;929.5;1018.5;20;15.5;12.5;62;14;4.1;50
2010-01-16;1200;null;5;null;10;0;929.3;1018.1;22.4;19.1;17.3;73;14;3;50
2010-01-16;1800;null;5;null;10;.4;927.1;1016.8;26;23.5;22.5;81;23;.7;20
2010-01-17;0000;null;5;null;10;8.8;929.4;1017.8;21.8;20.7;20.3;91;23;1.5;10
2010-01-17;1200;null;7;null;10;13.6;929;1017.7;20.9;19.3;18.5;86;5;2;60
2010-01-17;1800;null;5;null;10;0;926.6;1016.2;28.1;22.4;19.3;59;32;3.3;60
2010-01-18;0000;null;5;null;10;0;927.1;1015.3;25.2;22.1;20.9;77;5;3.5;50
2010-01-18;1200;5;5;7;8;12.4;927.9;1015.9;24.2;21.3;19.9;77;32;1.5;60
2010-01-18;1800;1;2;3;9;0;924.6;1013.2;29.9;22.5;18.7;51;32;7.8;70
2010-01-19;0000;null;5;null;10;0;925.9;1013.8;23.4;20.9;19.8;80;23;3;20
2010-01-19;1200;null;5;null;10;24;924.8;1012.7;23.4;20.2;18.7;75;32;2.5;60
2010-01-19;1800;9;2;3;7;0;923.2;1011.4;29.9;22.8;19.3;53;27;4.3;70
2010-01-20;0000;null;5;null;10;6.4;926.4;1014.6;21.4;20.2;19.5;89;32;2.8;10
2010-01-20;1200;8;5;8;4;13.5;923.4;1011.3;23.9;20.3;17.6;72;36;2.6;50
2010-01-20;1800;8;2;8;7;0;920.7;1008.7;30.2;22.5;18.9;51;5;4.6;70
2010-01-21;0000;6;5;4;9;0;922.6;1010;25.8;21.2;18.7;65;36;2.5;50
2010-01-21;1200;null;5;null;10;44;924;1013.1;22.2;20.2;19.4;84;32;1.3;50
2010-01-21;1800;5;2;4;9;0;922.6;1011.4;26.4;22.1;20.3;69;27;1.3;50
2010-01-22;0000;null;5;null;10;4.8;924;1012.2;20.9;19.7;19;89;5;5;10
2010-01-22;1200;null;8;null;10;4.4;925.3;1013.6;22.2;19.8;18.6;80;36;2.5;50
2010-01-22;1800;null;7;null;10;.4;924.5;1014;22.6;19.3;17.5;73;36;4;50
2010-01-23;0000;0;4;3;9;0;925.1;1013.3;21.4;19.6;18.8;85;5;3;50
2010-01-23;1200;8;5;8;8;.6;925.3;1013.3;24.2;20.5;18.6;71;36;3;50
2010-01-23;1800;null;5;null;10;4.4;923.7;1013.1;22.2;20.4;19.6;85;18;1.6;50
2010-01-24;0000;null;null;null;10;5.2;925.4;1013.4;21.2;20.1;19.8;92;0;0;10
2010-01-24;1200;5;1;4;6;10;924.9;1013.1;22.6;20.3;18.2;81;0;0;50
2010-01-24;1800;null;5;null;10;10.6;924.1;1013.9;21.2;20.3;19.7;91;14;3.6;20
2010-01-25;0000;null;6;null;10;7;924.9;1013.1;21;20.3;19.8;93;5;1;10
2010-01-25;1200;8;4;7;8;.2;924.7;1012.9;23.3;20.7;19.7;80;0;0;50
2010-01-25;1800;null;6;null;10;11.4;924.1;1013.2;21.4;20.3;19.7;90;5;3.6;10
2010-01-26;0000;null;null;null;10;5.4;924.7;1012.9;20.6;20.1;19.9;96;9;1.5;5
2010-01-26;1200;6;6;8;8;.2;924.4;1012.6;22;20.3;19.5;86;9;1.1;10
2010-01-26;1800;null;5;null;10;38;922.4;1011.1;19.8;19.5;19.3;97;0;0;2
2010-01-27;0000;null;null;null;10;15.2;924.1;1012.4;20.3;19.7;19.4;95;9;4.1;10
2010-01-27;1200;null;5;null;10;0;923.8;1012.1;22;20.1;19.2;84;14;.7;20
2010-01-27;1800;6;2;3;7;0;921.3;1009;28;22.7;20.3;63;32;4;70
2010-01-28;0000;null;5;null;10;0;927.8;1011.8;22.8;20.8;20;84;32;2.6;50
2010-01-28;1200;null;7;null;10;1.8;923.8;1011.7;23.1;20.8;19.7;81;5;3.6;10
2010-01-28;1800;null;7;null;10;40;922.6;1010.9;20.6;20.1;19.9;96;9;1;20
2010-01-29;0000;null;5;null;10;2.6;923.8;1011.8;22;20.7;20.1;89;9;4;50
2010-01-29;1200;null;5;null;10;3.4;925;1013.4;20.2;19.3;18.7;91;27;2.5;10
