datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01 14:00:00,0.0,1384.8,27.7,77.0,2.7
2021-01-01 16:00:00,0.0,1959.8,27.8,78.0,6.2
2021-01-01 17:00:00,0.0,3271.6,29.2,68.0,5.7
2021-01-01 18:00:00,1.0,1294.1,26.3,86.0,6.9
2021-01-02 15:00:00,0.0,849.9,23.0,100.0,4.8
2021-01-02 18:00:00,0.0,820.5,23.0,100.0,4.1
2021-01-03 13:00:00,0.0,2920.0,27.0,70.0,3.1
2021-01-03 14:00:00,0.0,3325.9,25.9,73.0,5.7
2021-01-03 15:00:00,0.0,3722.4,26.6,69.0,6.1
2021-01-03 16:00:00,0.0,3816.9,27.1,71.0,6.1
2021-01-03 17:00:00,0.0,3463.4,26.6,73.0,6.9
2021-01-03 18:00:00,0.0,2664.2,26.3,70.0,7.1
2021-01-03 19:00:00,0.0,1593.8,25.9,78.0,9.0
2021-01-04 13:00:00,0.0,2833.3,26.8,68.0,4.3
2021-01-04 14:00:00,0.0,2788.0,26.7,69.0,4.8
2021-01-04 15:00:00,0.0,3966.8,27.9,68.0,5.5
2021-01-04 16:00:00,0.0,3766.1,27.1,74.0,5.9
2021-01-04 17:00:00,0.0,969.0,26.0,83.0,6.6
2021-01-05 13:00:00,0.0,2349.5,27.8,76.0,3.5
2021-01-05 14:00:00,0.0,2696.5,27.7,79.0,4.5
2021-01-05 15:00:00,0.0,3232.0,27.7,78.0,5.4
2021-01-05 16:00:00,0.0,2470.7,28.4,73.0,5.4
2021-01-05 17:00:00,0.0,3832.3,28.8,73.0,5.3
2021-01-05 18:00:00,0.0,2503.8,28.5,74.0,6.3
2021-01-05 19:00:00,0.0,533.3,27.6,83.0,5.3
2021-01-05 20:00:00,0.0,985.9,26.6,100.0,4.7
2021-01-06 12:00:00,0.0,1943.7,27.5,100.0,2.5
2021-01-06 13:00:00,0.0,1870.8,29.2,100.0,3.4
2021-01-06 17:00:00,11.8,2216.0,29.8,100.0,6.9
2021-01-06 18:00:00,0.0,1372.2,28.9,100.0,4.2
2021-01-06 19:00:00,0.0,1487.2,28.9,100.0,5.5
2021-01-08 14:00:00,0.0,1560.8,29.4,68.0,4.7
2021-01-09 13:00:00,0.0,1977.8,28.0,87.0,4.5
2021-01-09 14:00:00,0.0,1089.3,27.7,90.0,4.4
2021-01-09 15:00:00,0.0,2825.5,28.6,76.0,5.1
2021-01-09 17:00:00,0.0,2452.0,28.7,81.0,4.6
2021-01-09 18:00:00,0.0,2721.4,28.7,75.0,6.4
2021-01-09 20:00:00,0.0,1582.8,28.2,81.0,6.0
2021-01-10 12:00:00,0.0,1397.1,27.6,100.0,2.9
2021-01-10 14:00:00,0.0,2319.5,29.3,73.0,4.5
2021-01-10 17:00:00,0.0,1110.5,29.3,76.0,5.2
2021-01-10 18:00:00,0.0,1272.0,28.6,87.0,5.6
2021-01-11 12:00:00,0.0,1298.6,28.1,100.0,2.3
2021-01-11 13:00:00,0.0,1165.5,28.4,83.0,3.2
2021-01-11 14:00:00,0.0,1958.3,29.0,82.0,4.0
2021-01-11 16:00:00,0.0,2367.6,28.9,86.0,6.6
2021-01-11 18:00:00,0.0,1440.0,28.4,87.0,5.9
2021-01-11 19:00:00,0.0,871.6,27.7,100.0,5.4
2021-01-13 13:00:00,0.0,1593.3,28.2,100.0,2.0
2021-01-13 16:00:00,0.0,1582.4,28.9,92.0,5.2
2021-01-14 13:00:00,0.0,2294.3,26.9,93.0,7.1
2021-01-14 14:00:00,0.0,2004.5,28.3,73.0,5.8
2021-01-14 15:00:00,0.0,2708.0,28.0,73.0,5.3
2021-01-15 13:00:00,0.0,2385.2,27.6,91.0,5.0
2021-01-15 14:00:00,0.0,2104.2,27.7,89.0,4.7
2021-01-15 15:00:00,0.0,3459.7,28.2,80.0,5.8
2021-01-16 13:00:00,0.0,1871.6,28.8,66.0,3.0
2021-01-16 14:00:00,0.0,2717.0,28.6,75.0,5.6
2021-01-16 15:00:00,0.0,3857.8,28.9,78.0,5.7
2021-01-16 20:00:00,0.0,1178.1,28.4,100.0,3.0
2021-01-19 13:00:00,0.0,1452.8,27.6,83.0,4.5
2021-01-20 12:00:00,0.0,1777.8,27.7,100.0,3.8
2021-01-20 13:00:00,0.0,2320.3,27.6,85.0,4.7
2021-01-20 14:00:00,0.0,1577.0,27.5,86.0,5.4
2021-01-21 12:00:00,0.0,911.0,26.4,100.0,1.5
2021-01-21 13:00:00,0.0,2298.9,28.5,81.0,3.6
2021-01-21 14:00:00,0.0,2560.6,28.6,78.0,5.7
2021-01-21 15:00:00,0.0,1475.3,28.1,80.0,5.3
2021-01-21 16:00:00,0.0,1320.3,28.0,79.0,4.3
2021-01-21 19:00:00,0.0,1283.8,28.3,75.0,4.6
2021-01-22 13:00:00,0.0,2386.9,28.8,65.0,4.0
2021-01-22 14:00:00,0.0,2594.7,28.8,68.0,4.4
2021-01-22 18:00:00,0.0,1751.7,29.0,72.0,4.9
2021-01-23 13:00:00,0.0,1300.3,27.8,79.0,2.8
2021-01-23 14:00:00,0.0,1775.2,28.3,74.0,4.1
2021-01-23 15:00:00,0.0,1999.6,28.5,71.0,4.5
2021-01-23 16:00:00,0.0,2352.5,29.2,72.0,4.9
